author,date,text,comments,likes,source_url
olivierduffez,2025-10-13,"SEO et GEO sont dans un bateau 🚣 SEO dit : Je bloque ChatGPT... La suite dans mon carrousel, bonne lecture 👀⤵",,,https://www.linkedin.com/in/olivierduffez/
olivierduffez,2025-10-13,"ChatGPT : Core Update majeure le 16 septembre 2025 🚨 3 changements qui depuis ont fait exploser… ou chuter ta visibilité dans ChatGPT Tu connais les Core Updates de Google ? Prépare toi dès maintenant à celles de ChatGPT ! À découvrir dans mon carrousel, bonne lecture 👀⤵ … plus",,,https://www.linkedin.com/in/olivierduffez/
danielroch,2025-10-13,"Help les nantais, je cherche une salle pouvant nous accueillir gracieusement pour notre prochain meetup SEO. La cantine ne peut plus nous accueillir, et La Cordée est un peu trop petite vu le nombre d'inscrits à la première édition (50 personnes). Des idées, des pistes ? … plus",,,https://www.linkedin.com/in/danielroch/
danielroch,2025-10-13,"Hello there ! Pour rappel les nantais, on organise un meetup WordPress participatif mercredi. En gros, vous venez avec vos sites et on les décortique ensemble sur tous les sujets : SEO, UX, Webperf, Sécurité, développement, etc. Prenez vos places, c'est gratuit ! … plus",,,https://www.linkedin.com/in/danielroch/
